[1, 0]
[6, 0]
[11, 0]
[16, 0]
[21, 0]
[26, 0]
[31, 0]
[36, 0]
[41, 0]
[46, 0]
[51, 0]
[56, 0]
[61, 0]
[66, 0]
[71, 0]
[76, 0]
[81, 0]
[86, 0]
[91, 0]
[96, 0]
[101, 0]
[106, 0]
[111, 0]
[116, 0]
[121, 0]
[126, 0]
[131, 0]
[136, 0]
[141, 0]
[146, 0]
[151, 0]
[156, 0]
[161, 0]
[166, 0]
[171, 0]
[176, 0]
[181, 0]
[186, 0]
[191, 0]
[196, 0]
[201, 0]
[206, 0]
[211, 0]
[216, 0]
[221, 0]
[226, 0]
[231, 0]
[236, 0]
[241, 0]
[246, 0]
[251, 0]
[256, 0]
[261, 0]
[266, 0]
[271, 0]
[276, 0]
[281, 0]
[286, 0]
[291, 0]
[296, 0]
[301, 0]
[306, 0]
[311, 0]
[316, 0]
[321, 0]
[326, 0]
[331, 0]
[336, 0]
[341, 0]
[346, 0]
[351, 0]
[356, 0]
[361, 0]
[366, 0]
[371, 0]
[376, 0]
[381, 0]
[386, 0]
[391, 0]
[396, 0]
[401, 0]
[406, 0]
[411, 0]
[416, 0]
[421, 0]
[426, 0]
[431, 0]
[436, 0]
[441, 0]
[446, 0]
[451, 0]
[456, 0]
[461, 0]
[466, 0]
[471, 0]
[476, 0]
[481, 0]
[486, 0]
[491, 0]
[496, 0]
[501, 0]
[506, 0]
[511, 0]
[516, 0]
[521, 0]
[526, 0]
[531, 0]
[536, 0]
[541, 0]
[546, 0]
[551, 0]
[556, 0]
[561, 0]
[566, 0]
[571, 0]
[576, 0]
[581, 0]
[586, 0]
[591, 0]
[596, 0]
[601, 0]
[606, 0]
[611, 0]
[616, 0]
[621, 0]
[626, 0]
[631, 0]
[636, 0]
[641, 0]
[646, 0]
[651, 0]
[656, 0]
[661, 0]
[666, 0]
[671, 0]
[676, 0]
[681, 0]
[686, 0]
[691, 0]
[696, 0]
[701, 0]
[706, 0]
[711, 0]
[716, 0]
[721, 0]
[726, 0]
[731, 0]
[736, 0]
[741, 0]
[746, 0]
[751, 0]
[756, 0]
[761, 0]
[766, 0]
[771, 0]
[776, 0]
[781, 0]
[786, 0]
[791, 0]
[796, 0]
[801, 0]
[806, 0]
[811, 0]
[816, 0]
[821, 0]
[826, 0]
[831, 0]
[836, 0]
[841, 0]
[846, 0]
[851, 0]
[856, 0]
[861, 0]
[866, 0]
[871, 0]
[876, 0]
[881, 0]
[886, 0]
[891, 0]
[896, 0]
[901, 0]
[906, 0]
[911, 0]
[916, 0]
[921, 0]
[926, 0]
[931, 0]
[936, 0]
[941, 0]
[946, 0]
[951, 0]
[956, 0]
[961, 0]
[966, 0]
[971, [7, 8, 10, 12, 14, 15, 18, 20, 24, 28, 36]]
[976, 0]
[981, 0]
[986, 0]
[991, 0]
[996, [7, 9, 10, 12, 14, 15, 16, 18, 20, 28, 48]]
[1001, [6, 8, 9, 14, 15, 18, 20, 21, 24, 28, 35]]
[1006, 0]
[1011, 0]
[1016, [7, 8, 9, 12, 14, 15, 18, 20, 28, 30, 40]]
[1021, [7, 8, 9, 10, 15, 18, 20, 21, 24, 28, 42]]
[1026, [6, 8, 10, 12, 14, 15, 21, 24, 28, 30, 35]]
[1031, [7, 8, 9, 12, 14, 15, 18, 20, 24, 35, 42]]
[1036, [5, 9, 10, 14, 15, 18, 20, 21, 28, 30, 35]]
[1041, 0]
[1046, [6, 8, 9, 12, 15, 18, 20, 21, 28, 30, 40]]
[1051, [6, 8, 10, 12, 14, 15, 18, 24, 30, 35, 36]]
[1056, [6, 8, 10, 12, 14, 15, 20, 21, 28, 35, 40]]
[1061, [5, 8, 10, 14, 15, 20, 21, 24, 28, 30, 35]]
[1066, [6, 7, 9, 14, 15, 18, 20, 24, 28, 30, 40]]
[1071, [5, 8, 9, 14, 18, 20, 21, 24, 28, 30, 35]]
[1076, [6, 8, 9, 14, 15, 16, 18, 20, 24, 35, 48]]
[1081, [5, 8, 10, 14, 15, 18, 21, 24, 28, 35, 36]]
[1086, [5, 8, 10, 14, 15, 18, 20, 24, 30, 35, 36]]
[1091, [5, 9, 10, 12, 14, 18, 21, 24, 28, 35, 40]]
[1096, [5, 9, 10, 12, 14, 18, 20, 24, 30, 35, 40]]
[1101, [6, 7, 10, 14, 15, 16, 18, 20, 28, 36, 48]]
[1106, [5, 7, 12, 14, 15, 18, 20, 24, 28, 36, 40]]
[1111, [5, 9, 10, 14, 15, 16, 18, 20, 30, 35, 48]]
[1116, [4, 9, 12, 15, 18, 20, 21, 24, 28, 30, 40]]
[1121, [5, 8, 9, 15, 16, 18, 21, 24, 28, 30, 48]]
[1126, [4, 8, 14, 15, 18, 20, 21, 24, 28, 35, 36]]
[1131, [5, 8, 9, 12, 18, 20, 21, 24, 30, 35, 42]]
[1136, [4, 9, 12, 14, 18, 20, 21, 24, 28, 35, 40]]
[1141, [5, 8, 9, 12, 18, 20, 21, 24, 28, 36, 45]]
[1146, [5, 7, 10, 14, 15, 18, 24, 28, 30, 36, 40]]
[1151, [4, 9, 14, 15, 16, 18, 20, 21, 28, 35, 48]]
[1156, [5, 7, 9, 14, 18, 20, 21, 28, 30, 35, 42]]
[1161, [4, 8, 12, 14, 18, 21, 24, 28, 30, 35, 36]]
[1166, [5, 7, 10, 14, 15, 18, 21, 28, 35, 36, 42]]
[1171, [4, 8, 12, 15, 18, 20, 21, 28, 30, 36, 40]]
[1176, [4, 8, 14, 15, 16, 20, 21, 24, 28, 35, 48]]
[1181, [5, 7, 8, 14, 20, 21, 24, 28, 30, 35, 42]]
[1186, [4, 8, 12, 15, 18, 20, 21, 24, 35, 36, 42]]
[1191, [4, 7, 14, 15, 18, 20, 24, 28, 30, 36, 40]]
[1196, [4, 9, 12, 14, 15, 18, 21, 28, 35, 36, 45]]
[1201, [4, 8, 14, 15, 16, 18, 20, 24, 35, 36, 48]]
[1206, [5, 6, 12, 14, 16, 18, 21, 28, 35, 36, 48]]
[1211, [4, 7, 14, 15, 18, 20, 21, 28, 35, 36, 42]]
[1216, [4, 8, 10, 15, 20, 21, 24, 28, 30, 36, 45]]
